Wave,Treatment,Label,Frass tube IW,Beetle IW,Beetle FW,Mortality date,Dead,Frass tube FW,frass_weight,Weight_gain,Sex
2,0.15,80,1.0105,0.0449,48.8,,0,1.043,0.0325,0.0449,F
2,0.15,81,1.0104,0.0535,30.2,10/21/23,1,1.0182,0.0078,0.0535,F
2,0.15,82,1.0051,0.0542,53.5,,0,1.03,0.0249,0.0542,F
2,0.15,83,1.008,0.0568,50.8,,0,1.0227,0.0147,0.0568,M
2,0.15,84,1.0108,0.0554,55.4,,0,1.0526,0.0418,0.0554,F
2,0.25,85,1.0068,0.064,56.9,10/24/23,1,1.0198,0.013,0.064,M
2,0.25,86,1.0053,0.0477,56.7,,0,1.0417,0.0364,0.0477,F
2,0.25,87,1.0039,0.0536,52.8,,0,1.0307,0.0268,0.0536,F
2,0.25,88,1.0084,0.0381,42,,0,1.0376,0.0292,0.0381,M
2,0.25,89,1.0055,0.0466,43.7,,0,1.0071,0.0016,0.0466,M
2,0.25,90,1.013,0.0522,54.8,,0,1.0442,0.0312,0.0522,M
2,0.25,91,1.0113,0.0462,54.8,,0,1.0414,0.0301,0.0462,F
2,0.25,92,1.0176,0.0477,46.6,,0,1.0441,0.0265,0.0477,M
2,0.25,93,1.0085,0.0483,52.6,,0,1.0257,0.0172,0.0483,F
2,0.25,94,1.0007,0.0466,37.2,,0,1.0064,0.0057,0.0466,M
2,0.25,95,1.0096,0.0417,35.1,,0,1.0186,0.009,0.0417,M
2,0.25,96,1.0017,0.0418,45.6,,0,1.037,0.0353,0.0418,M
2,0.35,97,1.0047,0.0489,49.1,,0,1.0168,0.0121,0.0489,F
2,0.35,98,1.0086,0.0443,45,,0,1.0211,0.0125,0.0443,M
2,0.35,99,1.0106,0.0531,51.6,,0,1.0424,0.0318,0.0531,M
2,0.35,100,1.0122,0.0819,76.5,,0,1.0487,0.0365,0.0819,F
2,0.35,101,1.0038,0.0526,56.8,,0,1.0301,0.0263,0.0526,F
2,0.35,102,1.0101,0.0522,54.2,10/24/23,1,1.0196,0.0095,0.0522,M
2,0.35,103,1.0031,0.0428,48.7,,0,1.0321,0.029,0.0428,M
2,0.35,104,1.0022,0.0526,55.3,10/20/23,1,1.0101,0.0079,0.0526,
2,0.35,105,1.0118,0.0469,42.2,,0,1.0368,0.025,0.0469,
2,0.35,106,1.0114,0.0517,43.4,,0,1.0147,0.0033,0.0517,
2,0.35,107,1.0068,0.0442,44.5,,0,1.0331,0.0263,0.0442,
2,0.35,108,1.0037,0.0466,44.3,10/20/23,1,1.0036,0,0.0466,
2,0.5,109,1.018,0.0324,32,,0,1.0474,0.0294,0.0324,
2,0.5,110,1.0104,0.0382,38.7,,0,1.0376,0.0272,0.0382,
2,0.5,111,1.0065,0.042,40.5,,0,1.0216,0.0151,0.042,
2,0.5,112,1.0074,0.064,63.7,,0,1.045,0.0376,0.064,
2,0.5,113,1.0068,0.0338,30.5,,0,1.0187,0.0119,0.0338,
2,0.5,114,1.0023,0.0317,35,,0,1.0249,0.0226,0.0317,
2,0.5,115,1.0108,0.0393,41,,0,1.0419,0.0311,0.0393,
2,0.5,116,1.0103,0.0386,39.6,,0,1.0367,0.0264,0.0386,
2,0.5,117,1.0024,0.0398,41,,0,1.0441,0.0417,0.0398,
2,0.5,118,1.0037,0.0488,52,,0,1.0338,0.0301,0.0488,
2,0.5,119,1.0099,0.0379,36.9,,0,1.0301,0.0202,0.0379,
2,0.5,120,1.0107,0.038,31.2,10/20/23,1,1.011,0.0003,0.038,
